ID,Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Ed Level,Accounts Held
50,32,8,4,0.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
51,61,131,1,2.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
52,30,72,1,0.1,1,207,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
53,50,190,3,2.1,3,240,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
54,29,44,1,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
55,41,139,2,8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
56,55,29,3,0.1,2,0,0,1,1,1,0,Graduate,Holds Securities & Deposit
57,56,131,2,1.2,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
58,28,93,2,0.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
59,31,188,2,4.5,1,455,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
60,49,39,3,1.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
61,47,125,1,5.7,1,112,0,1,0,0,0,Undergraduate, Holds only Securites 
62,42,22,1,1,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
63,42,32,4,0,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
64,47,105,2,3.3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
65,59,131,1,3.8,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
66,62,105,2,2.8,1,336,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
67,53,45,4,2,3,132,0,1,0,0,0,Advanced Degree, Holds only Securites 
68,47,60,3,2.1,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
69,53,20,4,0.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
70,42,115,1,3.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
71,53,69,4,1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
72,44,130,1,5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
73,41,85,1,4,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
74,28,135,2,3.3,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
75,31,135,4,3.8,2,0,1,0,1,1,1,Graduate, Holds only Deposit
76,58,12,3,0.3,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
77,46,29,3,0.5,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
78,54,133,2,2.6,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
79,50,19,2,0.4,1,118,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
80,60,41,4,1.3,1,174,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
81,47,40,3,2.7,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
82,41,82,1,4,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
83,33,50,1,2.4,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
84,46,18,1,0.9,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
85,27,109,4,1.8,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
86,40,42,4,2.2,2,126,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
87,48,78,3,1.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
88,65,51,2,1.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
89,25,113,4,2.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
90,55,118,4,5.6,2,0,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
91,35,29,4,1.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
92,43,34,3,0.6,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
93,60,64,2,1.7,3,236,0,1,0,1,0,Advanced Degree, Holds only Securites 
94,65,121,1,2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
95,38,48,4,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
96,41,80,1,5.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
97,54,161,1,2.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
98,49,94,1,0.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
99,66,15,3,0.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
100,48,74,1,1.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
101,61,30,3,1.3,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
102,53,44,3,1,3,198,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
103,43,22,2,0.3,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
104,56,38,4,1.3,1,166,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
105,24,35,3,0.1,2,0,0,1,0,1,0,Graduate, Holds only Securites 
106,43,69,4,2.9,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
107,42,43,1,0.7,1,136,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
108,33,32,1,0.6,3,166,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
109,43,49,1,2.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
110,41,9,3,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
111,62,45,4,1.3,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
112,40,82,3,1,1,309,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
113,58,92,2,2.8,1,103,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
114,39,39,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
115,65,81,3,1.8,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
116,54,35,1,1.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
117,58,61,2,2.3,3,193,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
118,41,73,3,3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
119,32,112,1,4.6,1,366,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
120,54,12,2,0.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
121,52,38,3,0.9,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
122,58,73,2,0.7,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
123,37,84,1,3.6,2,0,0,1,0,0,0,Graduate, Holds only Securites 
124,39,78,4,2.4,1,118,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
125,60,80,3,0.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
126,31,115,2,1.3,1,101,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
127,34,82,1,2.7,2,251,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
128,38,74,2,0,1,0,0,1,0,1,0,Undergraduate, Holds only Securites 
129,41,70,3,0.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
130,28,81,3,1.5,1,276,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
131,58,149,4,7.2,2,0,1,0,1,1,1,Graduate, Holds only Deposit
132,31,51,2,1.75,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
133,30,39,3,1.1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
134,53,98,3,1.8,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
135,58,45,4,2.1,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
136,59,49,4,2.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
137,49,128,2,0.4,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
138,59,42,3,1.5,1,0,0,1,1,0,1,Undergraduate,Holds Securities & Deposit
139,59,18,1,1.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
140,51,31,2,0.4,3,161,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
141,35,58,3,2,1,149,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
142,33,48,1,2.1,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
143,25,54,4,1.6,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
144,49,70,2,1.5,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
145,59,124,1,7.4,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
146,46,84,1,2.666666667,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
147,50,83,4,3.6,3,188,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
148,52,163,2,0.4,1,116,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
149,48,42,3,2.2,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
150,46,118,2,7.5,1,0,0,0,1,1,1,Undergraduate, Holds only Deposit
151,26,132,3,6.5,3,0,1,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
152,57,24,1,1.3,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
153,60,22,2,1,1,0,0,1,1,1,1,Undergraduate,Holds Securities & Deposit
154,54,58,4,1.3,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
155,24,60,4,1.6,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
156,26,15,4,0.4,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
157,41,83,4,2.666666667,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
158,32,79,2,1.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
159,61,41,4,1.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
160,29,134,4,6.5,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
161,61,80,2,2.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
162,38,52,1,2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
163,28,70,4,2.6,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
164,53,92,2,1.1,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
165,27,43,1,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
166,25,21,3,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
167,33,23,3,0.9,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
168,50,13,4,1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
169,27,112,4,2.1,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
170,27,138,2,2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
171,52,11,3,0.4,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
172,38,171,2,7.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
173,58,42,4,1.5,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
174,42,168,2,7.9,2,0,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
175,45,85,4,1.1,2,0,0,1,0,1,0,Graduate, Holds only Securites 
176,52,44,3,1,2,135,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
177,29,65,4,1.8,2,244,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
178,53,24,4,0.2,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
179,62,11,1,0.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
180,51,38,2,1,3,164,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
181,36,10,4,0.7,2,81,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
182,24,135,1,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
183,29,148,3,4.1,1,0,1,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
184,52,63,2,1.5,2,0,0,1,0,1,0,Graduate, Holds only Securites 
185,39,115,1,1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
186,48,45,1,0.3,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
187,46,159,3,1.9,3,315,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
188,64,169,2,2.1,1,122,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
189,55,112,2,1.4,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
190,60,93,1,4.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
191,51,29,1,0.3,3,140,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
192,50,85,1,2.666666667,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
193,48,21,4,0.6,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
194,53,144,2,6.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
195,34,13,4,1,1,95,0,1,0,1,0,Undergraduate, Holds only Securites 
196,48,165,1,5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
197,55,9,4,0.7,1,89,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
198,27,59,4,0,1,90,0,1,0,1,0,Undergraduate, Holds only Securites 
199,36,158,1,5.1,3,0,1,0,1,1,1,Advanced Degree, Holds only Deposit
200,32,29,1,1.9,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
201,35,20,2,1.4,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
202,30,68,4,2,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
203,58,65,4,2.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
204,56,61,2,1.9,2,105,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
205,38,91,4,1.4,2,100,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
206,49,31,1,1,1,0,0,1,0,1,0,Undergraduate, Holds only Securites 
207,34,71,4,0.1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
208,40,73,4,2.666666667,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
209,64,172,4,3.1,1,282,1,0,1,1,1,Undergraduate, Holds only Deposit
210,51,20,2,0,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
211,44,55,1,0.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
212,46,69,2,1.7,1,209,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
213,57,155,1,7.4,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
214,54,94,1,1.9,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
215,38,92,2,0,1,249,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
216,27,125,2,0.6,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
217,39,74,3,3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
218,44,72,3,0.3,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
219,56,61,1,2.2,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
220,32,25,2,0.3,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
221,45,83,2,1.7,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
222,26,104,3,2.5,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
223,55,41,3,1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
224,52,58,4,1.8,3,91,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
225,39,93,1,1.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
226,24,39,2,1.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
227,47,148,2,7.5,1,0,0,0,1,1,1,Undergraduate, Holds only Deposit
228,47,53,4,1.9,3,98,0,1,1,0,1,Advanced Degree,Holds Securities & Deposit
229,48,71,2,1.7,1,145,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
230,47,92,1,2.8,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
231,35,61,4,2.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
232,46,38,3,2.5,2,135,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
233,62,58,4,1.7,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
234,26,80,1,0.8,2,150,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
235,38,71,4,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
236,43,89,3,0.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
237,62,83,1,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
238,57,28,3,0.2,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
239,28,52,4,1.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
240,51,70,1,1.2,1,169,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
241,48,71,1,1.4,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
242,41,75,1,3.7,3,280,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
243,65,170,3,7.9,3,99,1,0,1,1,0,Advanced Degree, Holds only Deposit
244,41,78,4,0.8,1,78,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
245,35,25,2,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
246,38,60,2,0.6,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
247,53,120,4,2.7,2,111,1,1,1,1,0,Graduate,Holds Securities & Deposit
248,55,99,2,1.4,1,264,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
249,26,55,3,2.6,3,113,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
250,30,29,3,1,2,117,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
251,54,170,2,6.2,2,325,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
252,65,53,3,2.2,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
253,47,138,1,0,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
254,65,134,3,3.9,3,121,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
255,66,42,2,0.7,3,138,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
256,26,99,4,2.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
257,66,18,3,0.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
258,35,24,4,0.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
259,56,55,1,1.4,1,77,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
260,51,58,1,0,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
261,42,111,2,1.2,3,251,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
262,49,33,1,0.3,3,0,0,0,1,1,1,Advanced Degree, Holds only Deposit
263,27,74,4,1.8,2,112,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
264,45,38,2,0.7,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
265,49,23,4,0.6,3,98,0,1,0,0,0,Advanced Degree, Holds only Securites 
266,63,61,2,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
267,47,81,1,2.9,1,138,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
268,64,129,1,2.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
269,43,33,1,0.75,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
270,60,63,4,2.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
271,40,70,4,1.4,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
272,29,45,4,0.2,1,158,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
273,41,65,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
274,30,74,4,2.2,1,0,0,1,0,0,1,Undergraduate, Holds only Securites 
275,49,50,4,1.8,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
276,30,22,4,0.5,3,109,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
277,29,30,4,1,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
278,50,21,4,1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
279,39,155,2,3.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
280,33,64,4,2.1,3,164,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
281,57,65,4,2.6,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
282,34,71,4,0.7,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
283,61,40,3,0.5,2,0,0,1,0,1,0,Graduate, Holds only Securites 
284,44,69,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
285,40,69,3,2.333333333,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
286,51,45,3,0.6,2,131,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
287,37,62,3,0.7,2,0,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
288,44,172,2,4.3,3,391,1,1,1,1,0,Advanced Degree,Holds Securities & Deposit
289,42,24,3,1,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
290,51,80,1,4.9,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
291,43,8,3,0.666666667,2,88,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
292,30,38,4,0.8,1,129,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
293,45,93,4,2.6,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
294,35,55,1,2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
295,60,64,2,1.7,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
296,34,122,1,0,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
297,55,70,3,1.4,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
298,43,81,2,3.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
299,41,159,1,5.5,3,0,1,0,1,1,0,Advanced Degree, Holds only Deposit
300,34,70,4,1.3,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
301,65,150,2,6.9,1,196,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
