Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Ed Level,Accounts Held
58,73,2,0.7,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
37,84,1,3.6,2,0,0,1,0,0,0,Graduate, Holds only Securites 
39,78,4,2.4,1,118,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
60,80,3,0.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
31,115,2,1.3,1,101,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
34,82,1,2.7,2,251,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
38,74,2,0,1,0,0,1,0,1,0,Undergraduate, Holds only Securites 
41,70,3,0.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
28,81,3,1.5,1,276,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
58,149,4,7.2,2,0,1,0,1,1,1,Graduate, Holds only Deposit
31,51,2,1.75,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
30,39,3,1.1,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
53,98,3,1.8,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
58,45,4,2.1,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
59,49,4,2.5,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
49,128,2,0.4,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
59,42,3,1.5,1,0,0,1,1,0,1,Undergraduate,Holds Securities & Deposit
59,18,1,1.2,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
51,31,2,0.4,3,161,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
35,58,3,2,1,149,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
33,48,1,2.1,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
25,54,4,1.6,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
49,70,2,1.5,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
59,124,1,7.4,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
46,84,1,2.666666667,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
50,83,4,3.6,3,188,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
52,163,2,0.4,1,116,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
48,42,3,2.2,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
46,118,2,7.5,1,0,0,0,1,1,1,Undergraduate, Holds only Deposit
26,132,3,6.5,3,0,1,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
57,24,1,1.3,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
60,22,2,1,1,0,0,1,1,1,1,Undergraduate,Holds Securities & Deposit
54,58,4,1.3,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
24,60,4,1.6,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
26,15,4,0.4,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
41,83,4,2.666666667,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
32,79,2,1.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
61,41,4,1.7,2,0,0,1,0,1,0,Graduate, Holds only Securites 
29,134,4,6.5,3,0,1,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
61,80,2,2.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
38,52,1,2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
28,70,4,2.6,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
53,92,2,1.1,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
27,43,1,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
25,21,3,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
33,23,3,0.9,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
50,13,4,1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
27,112,4,2.1,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
27,138,2,2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
52,11,3,0.4,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
38,171,2,7.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
58,42,4,1.5,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
42,168,2,7.9,2,0,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
45,85,4,1.1,2,0,0,1,0,1,0,Graduate, Holds only Securites 
52,44,3,1,2,135,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
29,65,4,1.8,2,244,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
53,24,4,0.2,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
62,11,1,0.1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
51,38,2,1,3,164,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
36,10,4,0.7,2,81,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
24,135,1,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
29,148,3,4.1,1,0,1,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
52,63,2,1.5,2,0,0,1,0,1,0,Graduate, Holds only Securites 
39,115,1,1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
48,45,1,0.3,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
46,159,3,1.9,3,315,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
64,169,2,2.1,1,122,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
55,112,2,1.4,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
60,93,1,4.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
51,29,1,0.3,3,140,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
50,85,1,2.666666667,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
48,21,4,0.6,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
53,144,2,6.8,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
34,13,4,1,1,95,0,1,0,1,0,Undergraduate, Holds only Securites 
48,165,1,5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
55,9,4,0.7,1,89,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
27,59,4,0,1,90,0,1,0,1,0,Undergraduate, Holds only Securites 
36,158,1,5.1,3,0,1,0,1,1,1,Advanced Degree, Holds only Deposit
32,29,1,1.9,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
35,20,2,1.4,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
30,68,4,2,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
58,65,4,2.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
56,61,2,1.9,2,105,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
38,91,4,1.4,2,100,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
49,31,1,1,1,0,0,1,0,1,0,Undergraduate, Holds only Securites 
34,71,4,0.1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
40,73,4,2.666666667,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
64,172,4,3.1,1,282,1,0,1,1,1,Undergraduate, Holds only Deposit
51,20,2,0,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
44,55,1,0.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
46,69,2,1.7,1,209,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
57,155,1,7.4,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
54,94,1,1.9,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
38,92,2,0,1,249,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
27,125,2,0.6,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
39,74,3,3,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
44,72,3,0.3,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
56,61,1,2.2,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
32,25,2,0.3,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
45,83,2,1.7,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
26,104,3,2.5,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
55,41,3,1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
52,58,4,1.8,3,91,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
39,93,1,1.5,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
24,39,2,1.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
47,148,2,7.5,1,0,0,0,1,1,1,Undergraduate, Holds only Deposit
47,53,4,1.9,3,98,0,1,1,0,1,Advanced Degree,Holds Securities & Deposit
48,71,2,1.7,1,145,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
47,92,1,2.8,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
35,61,4,2.1,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
46,38,3,2.5,2,135,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
62,58,4,1.7,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
26,80,1,0.8,2,150,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
38,71,4,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
43,89,3,0.5,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
62,83,1,1.8,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
57,28,3,0.2,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
28,52,4,1.7,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
51,70,1,1.2,1,169,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
48,71,1,1.4,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
41,75,1,3.7,3,280,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
65,170,3,7.9,3,99,1,0,1,1,0,Advanced Degree, Holds only Deposit
41,78,4,0.8,1,78,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
35,25,2,1,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
38,60,2,0.6,3,0,0,0,0,1,1,Advanced Degree,Does not hold Securities or Deposit
53,120,4,2.7,2,111,1,1,1,1,0,Graduate,Holds Securities & Deposit
55,99,2,1.4,1,264,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
26,55,3,2.6,3,113,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
30,29,3,1,2,117,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
54,170,2,6.2,2,325,1,0,0,1,0,Graduate,Does not hold Securities or Deposit
65,53,3,2.2,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
47,138,1,0,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
65,134,3,3.9,3,121,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
66,42,2,0.7,3,138,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
26,99,4,2.3,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
66,18,3,0.5,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
35,24,4,0.3,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
56,55,1,1.4,1,77,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
51,58,1,0,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
42,111,2,1.2,3,251,1,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
49,33,1,0.3,3,0,0,0,1,1,1,Advanced Degree, Holds only Deposit
27,74,4,1.8,2,112,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
45,38,2,0.7,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
49,23,4,0.6,3,98,0,1,0,0,0,Advanced Degree, Holds only Securites 
63,61,2,1.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
47,81,1,2.9,1,138,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
64,129,1,2.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
43,33,1,0.75,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
60,63,4,2.2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
40,70,4,1.4,2,0,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
29,45,4,0.2,1,158,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
41,65,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
30,74,4,2.2,1,0,0,1,0,0,1,Undergraduate, Holds only Securites 
49,50,4,1.8,3,0,0,1,0,0,0,Advanced Degree, Holds only Securites 
30,22,4,0.5,3,109,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
29,30,4,1,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
50,21,4,1,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
39,155,2,3.9,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
33,64,4,2.1,3,164,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
57,65,4,2.6,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
34,71,4,0.7,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
61,40,3,0.5,2,0,0,1,0,1,0,Graduate, Holds only Securites 
44,69,3,0.5,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
40,69,3,2.333333333,2,0,0,0,0,0,0,Graduate,Does not hold Securities or Deposit
51,45,3,0.6,2,131,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
37,62,3,0.7,2,0,0,0,0,0,1,Graduate,Does not hold Securities or Deposit
44,172,2,4.3,3,391,1,1,1,1,0,Advanced Degree,Holds Securities & Deposit
42,24,3,1,2,0,0,0,0,1,1,Graduate,Does not hold Securities or Deposit
51,80,1,4.9,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
43,8,3,0.666666667,2,88,0,0,0,1,0,Graduate,Does not hold Securities or Deposit
30,38,4,0.8,1,129,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
45,93,4,2.6,3,0,0,0,0,0,0,Advanced Degree,Does not hold Securities or Deposit
35,55,1,2,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
60,64,2,1.7,3,0,0,0,0,0,1,Advanced Degree,Does not hold Securities or Deposit
34,122,1,0,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
55,70,3,1.4,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
43,81,2,3.2,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
41,159,1,5.5,3,0,1,0,1,1,0,Advanced Degree, Holds only Deposit
34,70,4,1.3,1,0,0,1,0,0,0,Undergraduate, Holds only Securites 
65,150,2,6.9,1,196,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
45,152,2,7.5,1,0,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
49,195,4,3,1,617,1,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
48,22,1,0.1,1,0,0,0,0,0,0,Undergraduate,Does not hold Securities or Deposit
60,22,1,1.3,1,123,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
55,79,3,0.8,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
42,33,1,1.4,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
32,128,2,4.333333333,1,0,0,0,1,1,1,Undergraduate, Holds only Deposit
62,91,1,3.8,1,0,0,1,0,1,0,Undergraduate, Holds only Securites 
57,39,4,0.9,1,0,0,0,0,1,1,Undergraduate,Does not hold Securities or Deposit
52,121,1,7.3,1,167,0,0,0,1,0,Undergraduate,Does not hold Securities or Deposit
36,21,1,0.666666667,3,0,0,1,0,1,0,Advanced Degree, Holds only Securites 
34,41,3,2.3,1,0,0,0,0,0,1,Undergraduate,Does not hold Securities or Deposit
63,45,2,0.7,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
24,51,3,0.3,3,0,0,0,0,1,0,Advanced Degree,Does not hold Securities or Deposit
